ID,Request_ID,Status,Messages,Name,Phone,Email,Language,Route,Address,Order,Unit,ZIP,LAT,LON,Household_Size,Restrictions,Preferences,Driver_Instructions,Restriction Codes
1,1,Active,,Brenda Wilson,3525243767,c2o6rr8x1a@iloveapps.com,English,6,2978 SE 2ND CT,6,,32641,29.659545,-82.259102,4,"Check for pre-pack bag. Diabetic - low sodium and moderated sugar preferred, no peanut butter","Wants more produce, less canned goods",,DIAB
2,3,Cancelled,,Antonio Berger,3529563115,5krxcjiqgk@hotmail.com,,,3435 SW 27TH TER,,,,,,,,,,
3,6,Cancelled,,Barbara Roberts,3528297500,6geknov3dj@gmail.com,,,1894 NW 67TH CT,,Apt 6,32601,,,3,Lactose intolerant,"More fruit, less leafy greens",,
4,7,Active,,Christine Young,3529590596,r4tlbsmsit@pureemail.com,English,6,1126 NW 27TH CT,9,,32641,29.714213,-82.233349,2,"No collards, no spaghetti necessary","Veg: arugula, kale, onions, mushrooms; Fruit: berries, watermelon, tropical fruit; Dairy: juices, cheese, 2% or less milk; Can: canned soup",,
5,8,Active,,Andrew Baker,3529023872,npte8fl0oz@aol.com,English,8,1999 SW 1ST CT,2,,32609,29.717311,-82.21587,6,,"Fruits, salads, black beans, rice, eggs, cheese",,
6,11,Active,,Adam Smith,3529454444,iksqrxnvrs@pureemail.com,English,7,1663 NW 4TH AVE,7,,32606,29.727069,-82.343135,4,,(No pref ind.),,
7,14,Error,,Elizabeth Fuentes,3528571227,np30hchw36@hotmail.com,English,,1111 SW 63RD ST,,,32607,29.6585,-82.325085,8,,"Produce, particularly produce kids would like such as apples and grapes",,
8,,Active,,Lauren Bernard,3522075520,6oa5rpveta@pureemail.com,English,3,3937 NW 66TH CT,4,Apt 412,32601,29.689763,-82.232037,3,Check for pre-pack bag. Low-prep/no-prep,"Microwave meals, granola bars, pre-prepared or canned veggies, snack foods, fruits (but less apples - gets too many)",,LPNP
9,18,Active,We tried to call you but your number is not in service. Please contact us via email at fgsgnv@gmail.com,Jeffrey Miller,3521533479,d7kahgc2ss@aol.com,English,12,2824 SE 48TH PL,8,Apt G,32607,29.704409,-82.315914,2,Check for pre-pack bag. Low vision disability,No-prep produce and dry goods,,LPNP
10,19,Cancelled,,Kelly Simpson,3522202432,n76ccqu9a2@iloveapps.com,,,1892 NE 6TH BLVD,,,32603,,,3,"No canned goods, doesn't need rice or beans","Fresh fruits and veggies, bread and bagels, cereal, pastries, tea and coffee if available",,
11,21,Active,We tried to call you but it appears your carrier is blocking our number. Please give us a call or text: (352) 388-1568,Elizabeth Wright,3526622581,gl0i537y26@aol.com,English,12,575 SE 8TH CT,5,Apt F,32607,29.662999,-82.415178,2,,(No pref ind.),,
12,22,Active,,Peter Garcia,3524162076,byis7saeoe@iloveapps.com,English,11,2084 SW 13TH AVE,5,Apt F49,32609,29.729799,-82.298487,1,,"Fresh vegetables, fresh fruits, canned goods (salmon, tuna), dry beans, rice, canned beans, honey, teas",,
13,26,Cancelled,,Amanda Morse,3520436745,rn2orrdzi1@aol.com,,,595 NW 27TH ST,,,,,,,,,,
14,30,Active,,Joseph Evans,3524450154,grx0nbcjs9@iloveapps.com,English,12,1433 SW 63RD TER,6,Apt C,32607,29.673982,-82.354079,2,,Produce + low-prep dry goods. Less produce more canned goods,,
15,33,Active,,John Andrade,3521950563,gplq50mckj@iloveapps.com,English,9,1342 NW 62ND PL,5,,32607,29.683951,-82.366435,1,"Check for pre-pack bag. Low-prep only, has only one hand but can operate a can opener; doesn't want fruits","No-prep produce; canned goods, canned beans, meat",,LPNP
16,34,Error,,Andrew Henderson,3527888621,8torbmigrq@pureemail.com,,,2724 NE 19TH PL,,,32609,29.674551,-82.297396,1,,(No pref ind.),,
17,36,Cancelled,,Stacey Avila,3520054319,ikoh70qeco@hotmail.com,,,2600 NE 17TH CT,,"Bldg 13, Apt 1314C",32607,,,2,"Not needed: rice, peanut butter, greens","Produce (fruits, potatoes, bell peppers), bread, spaghetti, meat, teas, ginger if we have it",,
18,37,Active,,Lawrence Hanson,3524557722,91b7086vlu@pureemail.com,English,5,3771 SW 56TH BLVD,5,,32606,29.698464,-82.398012,2,"Check for pre-pack bag. Diabetic, allergic to fish, struggles cooking dry beans, less starches","Melon and berries, broccoli, cauliflower, slaw, navy/lima beans",,DIAB
19,38,Cancelled,,Samantha Bender,3527589956,n29ar5ak2k@gmail.com,,,1663 SW 53RD TER,,Apt H,32607,,,1,"Has no teeth; no fresh produce (no preparation equipment), no microwave. No marinara, pasta, or tuna. No fruit except where indicated. No fiber/granola bars. No squash, tomatoes, lettuce. No canned veggies. No peanut butter","Produce (bananas, cauliflower, broccoli, zucchini, string beans, asparagus), grains (breads, pastries, rice, pasta), meats (chicken), chunky soups, instant mashed potatoes, pantry (olive oil, vinegar, gravy)",,
20,39,Cancelled,,Brooke Brooks,3520005617,9xf0j5v4tg@iloveapps.com,,,3126 SW 48TH PL,,,32605,,,1,,"Produce, doesn't particularly need dry goods",,
21,42,Active,,Jared Salazar,3527294249,t1zckjpmbh@pureemail.com,English,6,3077 NE 43RD AVE,1,Apt 404,32601,29.710709,-82.289411,1,No coleslaw,"Fresh produce, milk, meats, eggs",,
22,43,Active,We tried to call you but your number is not in service. Please contact us via email at fgsgnv@gmail.com,Jerry Smith,3522850344,x8cd6rievu@pureemail.com,English,13,3073 NE 29TH TER,5,Lot 73,32608,29.682222,-82.335369,4,Check for pre-pack bag. Diabetic,"Mac and cheese, more fruits, beans, rice",,DIAB
23,44,Cancelled,,Dr. Kevin Nolan,3520570795,x6ma3np8aj@aol.com,,12,2189 NW 63RD CT,,Apt D,32607,29.651412,-82.405604,1,"Blind, but has someone to help them cook","Microwave meals, fruits, coffee, sweet potato, romaine, deli meat. Please seal the bags with tape etc before sending out. ",,
24,48,Cancelled,,Tommy Hughes,3520850506,bx4kx7brby@aol.com,,,292 NE 34TH ST,,,,,,,,,,
25,50,Active,,Brian Boyd,3522557765,np14wvx4mb@pureemail.com,English,1,3334 SE 67TH CT,1,Apt B,32608,29.677658,-82.265273,5,,Produce,,
26,51,Active,,Gregory Cook,3529896752,fwh9guferd@aol.com,English,2,816 SW 12TH ST,7,Apt 6,32608,29.646405,-82.258908,1,No overripe bananas,"Veg: corn, salads; fruits; yellow rice; fresh or frozen meat (chicken); canned tuna, soups",,
27,52,Error,,Stephen Smith,3523305633,7de3jyb8nz@gmail.com,English,,1113 NW 63RD PL,,,32601,29.675957,82.382773,1,Vegan,"Wants more greens, wants more variety besides starches",,
28,53,Cancelled,,James Williams,3525761763,awmndjpc7d@hotmail.com,,,2213 NW 52ND TER,,,,,,,,,,
29,55,Active,,Natalie Woods,3527577018,sw3ib052vl@gmail.com,English,6,3273 SW 51ST BLVD,7,,32641,29.706803,-82.215831,6,,"Likes fresh produce, milk, eggs, canned goods",,
30,54,Cancelled,,Molly Collins,3528468942,6380etdyyn@aol.com,,,3375 SE 8TH AVE,,Apt AA190,32607,,,2,Lactose-intolerant,Produce,,
31,56,Active,,William Simpson,3525659512,5codtx1kqh@aol.com,English,5,156 NE 27TH TER,7,,32605,29.738628,-82.331705,5,Does not like eggplants or cauliflower,Produce and other goods kids would like,,
32,60,Active,,Aaron Hull,3525957494,sq418h8gl7@iloveapps.com,English,6,3707 NW 80TH PL,8,,32641,29.681027,-82.232277,4,,(No pref ind.),,
33,64,Error,,Megan Young,3526253210,46rvheopl5@aol.com,,,3311 NW 21ST ST,,,32605,29.727677,-82.2655,4,,Produce,,
34,67,Cancelled,,Paul Reed,3521523605,9equfcx2qy@gmail.com,,,792 SE 4TH AVE,,Apt B,32608,,,1,"Avoid all foods with Vitamin K - green leafy veggies, brassicas (broccoli, cauliflower, etc)  - gout restriction","Less produce to cook, more canned goods; replace Vit K foods with canned beans",,
35,69,Active,,Janet Howell,3524850204,7m37qzzj5g@aol.com,English,1,3025 NE 19TH CT,10,Apt 14,32608,29.705249,-82.306493,4,No leafy greens,"Low/no prep meals, cereal, juice",,
36,71,Active,,Deborah Riggs,3527024635,zzesb6mnaq@aol.com,English,8,105 NW 43RD TER,10,Apt G1,32609,29.692234,-82.252913,2,,Produce only,,
37,73,Cancelled,,Claudia Baird,3527737350,i3whyzblha@hotmail.com,,,3220 SW 58TH CT,,Apt W163,32641,,,6,,"Less greens, more canned/boxed food",,
